name,patent_count
International Business Machines Corporation,4385
"SAMSUNG DISPLAY CO., LTD.",4347
CANON KABUSHIKI KAISHA,1599
Intel Corporation,1424
"Taiwan Semiconductor Manufacturing Company, Ltd.",1379
"FORD GLOBAL TECHNOLOGIES, LLC",1282
LG ELECTRONICS INC.,1276
"Microsoft Technology Licensing, LLC",1254
QUALCOMM Incorporated,1191
Apple Inc.,1166
"Amazon Technologies, Inc.",1130
GOOGLE LLC,1069
TOYOTA JIDOSHA KABUSHIKI KAISHA,1035
"HUAWEI TECHNOLOGIES CO., LTD.",933
SONY GROUP CORPORATION,866
General Electric Company,844
"BOE Technology Group Co., Ltd.",775
Hyundai Motor Company,722
The Boeing Company,702
MITSUBISHI ELECTRIC CORPORATION,678
